h,p
5.29 , 1445.372009
5.26 , 1443.601379
5.24 , 1440.936737
5.18 , 1437.93869
5.17 , 1434.276428
5.13 , 1430.436859
5.08 , 1426.996307
5.06 , 1423.855896
5.03 , 1420.330811
4.95 , 1416.825104
4.92 , 1413.555908
4.89 , 1410.40802
4.86 , 1407.248383
4.82 , 1403.9888
4.78 , 1400.827942
4.75 , 1397.773743
4.72 , 1394.285583
4.69 , 1390.758972
4.64 , 1387.206726
4.60 , 1383.664703
4.57 , 1379.951935
4.53 , 1376.257324
4.49 , 1372.427979
4.46 , 1369.144135
4.43 , 1365.791626
4.40 , 1362.398987
4.35 , 1359.349365
4.32 , 1356.708221
4.29 , 1353.819733
4.26 , 1350.940247
4.23 , 1348.057098
4.19 , 1345.002899
4.15 , 1342.111969
4.12 , 1339.234314
4.09 , 1336.08963
4.06 , 1332.971191
4.03 , 1329.789124
4.00 , 1326.290283
3.96 , 1322.696838
3.93 , 1319.642639
3.89 , 1317.081146
3.86 , 1314.601898
3.83 , 1312.215424
3.80 , 1309.748077
3.50 , 1280.295105
3.44 , 1274.730682
3.40 , 1269.462891
3.36 , 1264.157944
3.34 , 1259.738007
3.30 , 1255.700073
3.23 , 1251.569672
3.20 , 1247.288513
3.12 , 1242.938843
3.10 , 1238.390579
3.07 , 1234.365463
3.04 , 1230.688171
3.00 , 1227.453308
2.98 , 1224.749069
2.95 , 1221.921692
2.93 , 1218.65242
2.89 , 1215.571365
2.86 , 1212.643814
2.84 , 1209.897614
2.83 , 1206.89209
2.75 , 1203.482361
2.70 , 1199.7332
2.64 , 1195.482712
2.61 , 1191.074905
2.59 , 1187.075424
2.55 , 1182.98027
2.50 , 1178.84819
2.46 , 1174.759521
2.41 , 1170.449066
2.36 , 1165.784607
2.34 , 1162.002487
2.30 , 1157.84584
2.23 , 1153.228149
2.16 , 1148.254471
2.10 , 1143.17009
2.06 , 1137.457428
2.02 , 1132.662582
1.99 , 1128.23143
1.94 , 1124.040985
1.89 , 1119.73381
1.85 , 1115.504379
1.81 , 1110.390854
1.75 , 1105.645905
1.71 , 1100.827866
1.65 , 1095.9095
1.60 , 1090.949402
1.56 , 1086.044617
1.49 , 1080.9021
1.44 , 1075.755615
1.39 , 1070.455322
1.33 , 1065.678787
1.31 , 1060.839844
1.24 , 1055.310974
1.16 , 1049.573898
1.08 , 1044.000549
1.03 , 1037.619324
0.97 , 1031.499939
0.94 , 1026.619949
0.91 , 1022.005234
0.86 , 1017.718353
0.84 , 1014.707489
0.83 , 1012.570038